S.No.,Company,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,ROE %,5Yrs return %,ROE 5Yr %,Profit Var 5Yrs %,CMP / BV,EPS 12M Rs.,PB X PE,Free Cash Flow 5Yrs Rs.Cr.,Sales Var 5Yrs %
1,Firstsour.Solu.,283.35,25.09,20025.55,1.94,16.80,17.63,6.96,16.24,10.36,4.57,9.49,114.66,3492.33,13.48
2,Strides Pharma,1150.60,18.27,10581.25,0.43,18.32,19.99,31.75,30.80,20.07,3.41,66.56,62.30,1098.57,7.94
3,Jindal Stain.,723.55,18.14,59721.97,0.55,19.28,17.73,34.05,21.10,55.41,3.01,39.41,54.60,8529.71,28.65
4,Divi's Lab.,9198.00,81.92,244073.27,0.33,21.97,16.53,12.23,16.96,5.71,14.57,110.18,1193.57,3879.32,8.67
5,Karamtara Engg.,,35.63,8174.30,,23.41,20.83,,16.23,85.35,,7.83,,-234.28,32.75
6,Hind. Unilever,1938.10,41.14,453726.09,2.12,28.42,31.03,-6.06,22.15,13.26,9.34,63.66,384.25,51278.00,6.51
7,A B B,7005.00,96.38,148541.88,0.56,29.93,22.39,29.71,21.60,57.13,15.89,141.00,1531.48,4374.78,17.80
8,Kirl.Pneumatic,698.15,33.21,9072.07,0.86,30.30,22.73,29.66,18.34,33.53,7.25,20.36,240.77,431.53,16.40
9,N S E,,49.42,441787.50,,40.58,28.62,,35.39,,,41.62,,60840.23,
10,Manipal Payment,,31.76,7858.17,,43.28,45.14,,,,,,,,
11,Sanofi Consumer,4055.30,34.98,9303.42,1.85,89.93,71.60,,,,26.85,115.50,939.21,,
12,BSE,3310.00,47.68,135009.63,0.30,59.99,46.05,89.13,28.20,69.36,20.23,69.54,964.57,6492.98,52.05
