S.No.,Company,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,ROE %,5Yrs return %,ROE 5Yr %,Profit Var 5Yrs %,CMP / BV,EPS 12M Rs.,PB X PE,Free Cash Flow 5Yrs Rs.Cr.,Sales Var 5Yrs %,Debt / Eq
1.,SPARC,188.20,3.82,6104.70,0.00,164.99,281.12,-8.93,,65.28,4.57,48.79,17.46,-1406.88,49.34,0.42
2.,P & G Hygiene,7495.60,30.76,24326.74,3.06,157.20,114.58,-11.81,83.11,14.44,32.29,243.59,993.24,3572.69,7.40,0.00
3.,Tips Music,652.75,39.00,8369.51,1.99,118.47,87.56,42.25,77.82,36.68,32.10,16.79,1251.90,649.00,32.91,0.02
4.,ICICI AMC,3065.00,43.48,151545.05,0.89,115.10,85.80,,80.08,21.51,36.32,100.95,1579.19,9708.17,21.89,0.00
5.,Colgate-Palmoliv,1825.00,36.26,49631.86,2.63,108.02,82.73,1.18,74.74,5.34,31.33,49.55,1136.03,6859.42,4.51,0.03
6.,Gillette India,7246.20,35.35,23612.62,2.48,90.69,66.50,3.76,44.19,23.20,24.95,205.02,881.98,1930.12,13.04,0.00
7.,Sanofi Consumer,4055.30,34.98,9303.42,1.85,89.93,71.60,,,,26.85,115.50,939.21,,,0.06
8.,Waaree Renewab.,806.20,16.49,8420.11,0.12,85.38,69.12,85.51,69.29,190.31,8.96,48.93,147.75,555.47,237.56,0.12
9.,Nestle India,1356.85,69.65,261510.99,0.88,84.14,73.17,6.34,97.54,10.62,49.28,20.02,3432.35,11149.83,11.64,0.08
10.,P & G Health Ltd,5420.15,27.01,8999.36,2.86,83.88,61.86,-0.29,34.96,5.07,17.15,215.00,463.22,1017.62,0.76,0.02
11.,Timex Group,605.00,68.46,6107.96,0.00,82.85,157.63,65.22,,64.10,81.01,8.50,5545.94,105.77,41.48,0.95
12.,GE Vernova T&D,4252.00,80.69,108946.71,0.24,77.44,57.40,99.90,27.10,85.62,40.47,50.97,3265.52,2756.45,12.45,0.01
13.,Multi Comm. Exc.,3174.00,52.51,80959.12,0.25,71.35,56.26,57.44,27.54,48.68,28.41,60.46,1491.81,4495.19,42.59,0.00
14.,Jeena Sikho,500.25,26.37,6237.03,0.90,70.74,60.01,,48.36,84.51,13.30,19.03,350.72,199.77,42.62,0.27
15.,Hindustan Zinc,561.00,14.02,237204.99,1.96,69.25,76.38,10.86,50.26,12.09,10.54,40.08,147.77,52672.00,12.43,0.39
16.,International Gemological Instit,313.10,22.20,13535.23,0.81,69.25,55.81,,,,9.09,14.11,201.80,,,0.10
17.,Augmont Enterpri,832.25,22.78,7598.55,0.00,68.52,50.93,,47.70,77.20,,39.99,,120.50,35.47,0.02
18.,Siemens Ener.Ind,3028.70,70.71,107944.75,0.13,67.75,50.47,,,,22.42,41.78,1585.32,,,0.04
19.,Esab India,5763.05,42.85,8868.96,1.30,64.68,48.76,20.69,49.26,27.01,20.66,144.15,885.28,606.96,17.23,0.01
20.,Page Industries,34676.95,49.51,38694.65,1.59,64.39,54.29,0.85,48.00,18.30,25.74,677.65,1274.39,2861.36,13.12,0.18
21.,TCS,2250.00,15.15,813626.06,2.84,63.03,51.81,-10.42,49.36,9.45,7.59,137.64,114.99,210582.00,10.22,0.11
22.,Glaxosmi. Pharma,2816.30,45.17,47561.84,2.02,61.41,45.61,12.38,47.63,15.12,21.04,63.05,950.38,5538.36,5.49,0.01
23.,Sigma Advanced System,804.90,91.89,15280.97,0.00,60.82,90.63,108.33,24.24,172.38,30.29,9.08,2783.35,185.79,52.62,0.71
24.,Tenneco Clean,512.90,33.41,20717.23,0.00,60.76,44.41,,,,17.29,14.89,577.66,,,0.04
25.,Castrol India,187.75,17.22,18578.68,4.66,60.27,45.86,5.80,44.84,10.45,9.73,10.74,167.55,4061.58,13.81,0.03
26.,BSE,3310.00,47.68,135009.63,0.30,59.99,46.05,89.13,28.20,69.36,20.23,69.54,964.57,6492.98,52.05,0.00
